ORGAN_CODE,CATEGORY,YY,VAL
3450000,호우,2018,
3460000,호우,2018,
3480000,호우,2018,
3490000,호우,2018,22082
3500000,호우,2018,900
3510500,호우,2018,37800
3520000,호우,2018,4500
3530000,호우,2018,
3540000,호우,2018,43200
3550000,호우,2018,73710
3560000,호우,2018,57600
3570000,호우,2018,45823
3580000,호우,2018,
3590000,호우,2018,10117
3600000,호우,2018,1800
3610000,호우,2018,16200
3620000,호우,2018,
3630000,호우,2018,
3640000,호우,2018,
3650000,호우,2018,
3660000,호우,2018,31564
3670000,호우,2018,2520429
3680000,호우,2018,428904
3720000,호우,2018,
3730000,호우,2018,
5690000,호우,2018,758601
3740000,호우,2018,
3750000,호우,2018,5400
3760000,호우,2018,1800
3770000,호우,2018,
5610000,호우,2018,
3790000,호우,2018,4500
3800000,호우,2018,
3810000,호우,2018,1800
3820000,호우,2018,987965
3840000,호우,2018,9900
3850000,호우,2018,10800
3860000,호우,2018,8100
3900000,호우,2018,2700
3910000,호우,2018,3600
3920000,호우,2018,144758
3930000,호우,2018,
5550000,호우,2018,900
5560000,호우,2018,18000
3940000,호우,2018,
3950000,호우,2018,1064818
3960100,호우,2018,169107
4100100,호우,2018,123153
3970000,호우,2018,900
3980000,호우,2018,17700
3990000,호우,2018,2106737
4000000,호우,2018,600
4010000,호우,2018,31500
4020000,호우,2018,12600
4030000,호우,2018,7200
4040000,호우,2018,36400
4050000,호우,2018,
5620000,호우,2018,15000
5630000,호우,2018,
5640000,호우,2018,1800
4060000,호우,2018,2950267
4070000,호우,2018,33414
4080000,호우,2018,3906
4090000,호우,2018,218695
5530000,호우,2018,3000
5540000,호우,2018,32500
5590000,호우,2018,2586931
5600000,호우,2018,2280011
5700000,호우,2018,208026
4140000,호우,2018,6188111
4160000,호우,2018,274442
4170000,호우,2018,
4180000,호우,2018,23606
4190000,호우,2018,5404
4200000,호우,2018,165270
4220000,호우,2018,
4230000,호우,2018,77000
4240000,호우,2018,600
4250000,호우,2018,229295
4260000,호우,2018,
4270000,호우,2018,290609
4280000,호우,2018,1935218
4290000,호우,2018,3000
4300000,호우,2018,2082813
4310000,호우,2018,120484
4320000,호우,2018,665295
4330000,호우,2018,240370
4340000,호우,2018,38012
4350000,호우,2018,15541
5710000,호우,2018,
5720000,호우,2018,1287700
5725000,호우,2018,163407
5730000,호우,2018,44901
5735000,호우,2018,193164
4390000,호우,2018,1307757
4400000,호우,2018,662249
4420000,호우,2018,900
4430000,호우,2018,172
4440000,호우,2018,368140
5570000,호우,2018,143044
4450000,호우,2018,4752
4460000,호우,2018,2940595
4470000,호우,2018,907381
4480000,호우,2018,1093797
4490000,호우,2018,
5650000,호우,2018,80709
5660000,호우,2018,900
4500000,호우,2018,1564426
4510000,호우,2018,
4520000,호우,2018,1800
4530000,호우,2018,
4540000,호우,2018,11997
5580000,호우,2018,
5680000,호우,2018,
4550000,호우,2018,900
4570000,호우,2018,56841
4580000,호우,2018,
4590000,호우,2018,6322
4600000,호우,2018,
4610000,호우,2018,1350
4620000,호우,2018,900
4640000,호우,2018,
4650000,호우,2018,637835
4660000,호우,2018,45900
4670000,호우,2018,1274664
4680000,호우,2018,3011
