STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2022,3570000,69803,,,,MPA,SUB_MPC,,,,19480628,,1,0,,,,,270.38,,,,,skgo,skgo,20230203,20230203
2022,3580000,20613,,,,MPA,SUB_MPC,,,,19310325,,1,0,,,,,576.05,,,,,skgo,skgo,20230203,20230203
2022,3590000,105909,,,,HNA,SUB_MPC,,,,19090622,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3600000,287401,,,,HNA,SUB_MPC,,,,19020301,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3610000,212379,,,,HNA,SUB_MPC,,,,19041129,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3620000,424707,,,,HNA,SUB_MPC,,,,19141011,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3630000,400654,,,,HNA,SUB_MPC,,,,19200712,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3640000,219751,,,,CCA,SUB_MPC,,,,19231209,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3650000,227108,,,,CCA,SUB_MPC,,,,19090515,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3660000,470374,,,,CCA,SUB_MPC,,,,19140101,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3670000,356093,,,,CCA,SUB_MPC,,,,19260514,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3680000,172746,,,,CCA,SUB_MPC,,,,19071021,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3690000,208132,,,,YNA,SUB_MPC,,,,19031122,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3700000,310638,,,,YNA,SUB_MPC,,,,19041022,,1,0,,,,,33.05,,,,,skgo,skgo,20230203,20230203
2022,3710000,151711,,,,YNA,SUB_MPC,,,,19050214,,1,0,,,,,45.19,,,,,skgo,skgo,20230203,20230203
2022,3720000,218670,,,,YNA,SUB_MPC,,,,19300516,,1,0,,,,,18.1,,,,,skgo,skgo,20230203,20230203
2022,3730000,221512,,,,YNA,SUB_MPC,,,,20411221,,1,0,,,,,53.89,,,,,skgo,skgo,20230203,20230203
2022,3740000,1190964,,,,MPA,MNC,,,,19070205,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3780000,922518,,,,MPA,MNC,,,,19181102,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3820000,463724,,,,MPA,MNC,,,,19121102,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3830000,548228,,,,MPA,MNC,,,,19080311,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3860000,790128,,,,MPA,MNC,,,,19020812,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3900000,287945,,,,MPA,MNC,,,,19040111,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3910000,578529,,,,MPA,MNC,,,,19210401,,1,0,,,,,53.66,,,,,skgo,skgo,20230203,20230203
2022,3920000,91546,,,,MPA,MNC,,,,19170320,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3930000,641660,,,,MPA,MNC,,,,19161226,,1,0,,,,,92.7,,,,,skgo,skgo,20230203,20230203
2022,3940000,1076535,,,,MPA,MNC,,,,19250414,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3970000,78137,,,,MPA,MNC,,,,19060515,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3980000,188701,,,,MPA,MNC,,,,19030707,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,3990000,737353,,,,MPA,MNC,,,,19840520,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4000000,229849,,,,MPA,MNC,,,,19021209,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4010000,512912,,,,MPA,MNC,,,,19110518,,1,0,,,,,23.32,,,,,skgo,skgo,20230203,20230203
2022,4020000,266213,,,,MPA,MNC,,,,19040720,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4030000,160221,,,,MPA,MNC,,,,19090414,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4040000,326059,,,,MPA,MNC,,,,19130302,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4050000,1074971,,,,MPA,MNC,,,,19811118,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4060000,495315,,,,MPA,MNC,,,,19731010,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4070000,222721,,,,MPA,MNC,,,,19450123,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4080000,188842,,,,MPA,MNC,,,,19641130,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4090000,484267,,,,MPA,MNC,,,,19180519,,1,0,,,,,29.28,,,,,skgo,skgo,20230203,20230203
2022,4140000,42062,,,,MPA,MNC,,,,20010304,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4160000,62150,,,,MPA,MNC,,,,20870130,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4170000,122323,,,,MPA,MNC,,,,20671209,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4180000,286664,,,,GWA,MNC,,,,21180402,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4190000,360807,,,,GWA,MNC,,,,20660313,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4200000,211381,,,,GWA,MNC,,,,21260418,,1,0,,,,,77.7,,,,,skgo,skgo,20230203,20230203
2022,4210000,89426,,,,GWA,MNC,,,,19370430,,1,0,,,,,42.5,,,,,skgo,skgo,20230203,20230203
2022,4220000,39428,,,,GWA,MNC,,,,19730218,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4230000,82806,,,,GWA,MNC,,,,19211013,,1,0,,,,,30.2,,,,,skgo,skgo,20230203,20230203
2022,4240000,63455,,,,GWA,MNC,,,,21790922,,1,0,,,,,124.32,,,,,skgo,skgo,20230203,20230203
2022,4250000,67977,,,,GWA,MNC,,,,23060208,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4260000,46532,,,,GWA,MNC,,,,20970409,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4270000,37728,,,,GWA,MNC,,,,21450723,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4280000,40990,,,,GWA,MNC,,,,22260118,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4290000,34931,,,,GWA,MNC,,,,21730314,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4300000,42256,,,,GWA,MNC,,,,20741206,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4310000,23388,,,,GWA,MNC,,,,21180117,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4320000,21383,,,,GWA,MNC,,,,20571225,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4330000,32206,,,,GWA,MNC,,,,23350308,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4340000,27274,,,,GWA,MNC,,,,20420311,,1,0,,,,,102.23,,,,,skgo,skgo,20230203,20230203
2022,4350000,27866,,,,GWA,MNC,,,,20420610,,1,0,,,,,61.9,,,,,skgo,skgo,20230203,20230203
2022,4390000,208277,,,,CCA,MNC,,,,20670514,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4400000,130988,,,,CCA,MNC,,,,20760324,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4420000,31455,,,,CCA,MNC,,,,20061213,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4430000,49520,,,,CCA,MNC,,,,19940407,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4440000,44956,,,,CCA,MNC,,,,20741114,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4450000,86147,,,,CCA,MNC,,,,19640530,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4460000,37055,,,,CCA,MNC,,,,20740412,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4470000,92058,,,,CCA,MNC,,,,19660928,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4480000,27767,,,,CCA,MNC,,,,20710326,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4490000,657559,,,,CCA,MNC,,,,19880604,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4500000,102571,,,,CCA,MNC,,,,20650306,,0,1,,,,,0,,,,,skgo,skgo,20230203,20230203
2022,4510000,97157,,,,CCA,MNC,,,,19911110,,1,0,,,,,275.24,,,,,skgo,skgo,20230203,20230203
