ORGAN_CODE,TOP_CODE,TOP_ORGAN,FULL_ORGAN,LWST_ORGAN
5410000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Changnyeong-gun,Changnyeong-gun
5420000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Goseong-gun,Goseong-gun
5430000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Namhae-gun,Namhae-gun
5440000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hadong-gun,Hadong-gun
5450000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Sancheong-gun,Sancheong-gun
5460000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hamyang-gun,Hamyang-gun
5470000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Geochang-gun,Geochang-gun
5480000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Hapcheon-gun,Hapcheon-gun
5530000,6410000,Gyeonggi-do,Gyeonggi-do Hwaseong-si,Hwaseong-si
5540000,6410000,Gyeonggi-do,Gyeonggi-do Gwangju-si,Gwangju-si
5570000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Jeungpyeong-gun,Jeungpyeong-gun
5580000,6440000,Chungcheongnam-do,Chungcheongnam-do Gyeryong-si,Gyeryong-si
5590000,6410000,Gyeonggi-do,Gyeonggi-do Yangju-si,Yangju-si
5600000,6410000,Gyeonggi-do,Gyeonggi-do Pocheon-si,Pocheon-si
5670000,6480000,Gyeongsangnam-do,Gyeongsangnam-do Changwon-si,Changwon-si
5680000,6440000,Chungcheongnam-do,Chungcheongnam-do Dangjin-si,Dangjin-si
5700000,6410000,Gyeonggi-do,Gyeonggi-do Yeoju-si,Yeoju-si
5710000,6430000,Chungcheongbuk-do,Chungcheongbuk-do Cheongju-si,Cheongju-si
