ORGAN_CODE,YY,CATEGORY,VAL
3090000,2017,전,233206
3090000,2017,답,140404
3090000,2017,과수원,25546
3090000,2017,목장용지,0
3090000,2017,임야,9645649.2
3090000,2017,광천지,0
3090000,2017,염전,0
3090000,2017,대,6158181.1
3090000,2017,공장용지,29116
3090000,2017,학교용지,697635.7
3090000,2017,주차장,90997.3
3090000,2017,주유소용지,19807.5
3090000,2017,창고용지,5252
3090000,2017,도로,2071678.7
3090000,2017,철도용지,178087.9
3090000,2017,제방,15287.7
3090000,2017,하천,475071.8
3090000,2017,구거,178461
3090000,2017,유지,21
3090000,2017,양어장,0
3090000,2017,수도용지,403.1
3090000,2017,공원,505554.3
3090000,2017,체육용지,61527
3090000,2017,유원지,0
3090000,2017,종교용지,56206.7
3090000,2017,사적지,0
3090000,2017,묘지,4224
3090000,2017,잡종지,75939
3100000,2017,계,35437909.2
3100000,2017,전,214557
3100000,2017,답,188987
3100000,2017,과수원,17574.1
3100000,2017,목장용지,0
3100000,2017,임야,15474209.6
3100000,2017,광천지,0
3100000,2017,염전,0
3100000,2017,대,9259542.9
3100000,2017,공장용지,3087.7
3100000,2017,학교용지,2494089.8
3100000,2017,주차장,25411.3
3100000,2017,주유소용지,25538.7
3100000,2017,창고용지,3103
3100000,2017,도로,2801216.9
3100000,2017,철도용지,641786.3
3100000,2017,제방,126642
3100000,2017,하천,1113232
3100000,2017,구거,108951.1
3100000,2017,유지,39268
3100000,2017,양어장,0
3100000,2017,수도용지,92668
3100000,2017,공원,729009.1
3100000,2017,체육용지,640310
3100000,2017,유원지,0
3100000,2017,종교용지,124711
3100000,2017,사적지,0
3100000,2017,묘지,17441
3100000,2017,잡종지,1296572.7
3110000,2017,계,29709359.5
3110000,2017,전,567669.1
3110000,2017,답,444001.5
3110000,2017,과수원,0
3110000,2017,목장용지,0
3110000,2017,임야,13483205.1
3110000,2017,광천지,0
3110000,2017,염전,0
3110000,2017,대,9668965.2
3110000,2017,공장용지,2568
3110000,2017,학교용지,638406.2
3110000,2017,주차장,66725.7
3110000,2017,주유소용지,22212.8
3110000,2017,창고용지,0
3110000,2017,도로,2890307.7
3110000,2017,철도용지,163455
3110000,2017,제방,737
3110000,2017,하천,497611.5
3110000,2017,구거,280167.6
3110000,2017,유지,2791.5
3110000,2017,양어장,0
3110000,2017,수도용지,35946.2
3110000,2017,공원,538366.9
3110000,2017,체육용지,5104
3110000,2017,유원지,0
3110000,2017,종교용지,120077.9
3110000,2017,사적지,1081
3110000,2017,묘지,25537
3110000,2017,잡종지,254422.6
3120000,2017,계,17626255.3
3120000,2017,전,79466
3120000,2017,답,4581
3120000,2017,과수원,0
3120000,2017,목장용지,0
3120000,2017,임야,4669677.6
3120000,2017,광천지,0
3120000,2017,염전,0
3120000,2017,대,7175221
3120000,2017,공장용지,0
3120000,2017,학교용지,2192293.9
3120000,2017,주차장,19363.9
3120000,2017,주유소용지,10399.7
3120000,2017,창고용지,0
3120000,2017,도로,2163468.7
3120000,2017,철도용지,210619.4
3120000,2017,제방,3061
3120000,2017,하천,435978.2
3120000,2017,구거,72307.5
3120000,2017,유지,0
3120000,2017,양어장,0
3120000,2017,수도용지,22799
3120000,2017,공원,422222.1
3120000,2017,체육용지,0
3120000,2017,유원지,0
3120000,2017,종교용지,70369.4
3120000,2017,사적지,119
3120000,2017,묘지,56643
3120000,2017,잡종지,17664.9
3130000,2017,계,23852112.1
3130000,2017,전,313924.1
3130000,2017,답,107040
3130000,2017,과수원,0
3130000,2017,목장용지,0
3130000,2017,임야,380950.6
3130000,2017,광천지,0
3130000,2017,염전,0
3130000,2017,대,8577144.8
3130000,2017,공장용지,17024.7
3130000,2017,학교용지,706251.8
3130000,2017,주차장,39472.6
3130000,2017,주유소용지,12050.6
3130000,2017,창고용지,0
3130000,2017,도로,3471521.8
3130000,2017,철도용지,573972.3
3130000,2017,제방,222786.4
3130000,2017,하천,5755138.1
3130000,2017,구거,90653.4
3130000,2017,유지,88218.3
3130000,2017,양어장,0
3130000,2017,수도용지,10150
3130000,2017,공원,2723115.4
3130000,2017,체육용지,0
3130000,2017,유원지,6502.4
3130000,2017,종교용지,84961.9
3130000,2017,사적지,0
3130000,2017,묘지,10463
3130000,2017,잡종지,660769.9
3140000,2017,계,17406811.5
3140000,2017,전,101900
3140000,2017,답,13740
3140000,2017,과수원,0
3140000,2017,목장용지,0
3140000,2017,임야,1094627.8
3140000,2017,광천지,0
3140000,2017,염전,0
3140000,2017,대,8655356.7
3140000,2017,공장용지,6885.4
3140000,2017,학교용지,791657.4
3140000,2017,주차장,180165.1
3140000,2017,주유소용지,40337.5
3140000,2017,창고용지,0
3140000,2017,도로,3105446
3140000,2017,철도용지,235510.5
3140000,2017,제방,210259.9
3140000,2017,하천,446846
3140000,2017,구거,198856.3
3140000,2017,유지,149046.3
3140000,2017,양어장,0
3140000,2017,수도용지,38586
3140000,2017,공원,1724849.2
3140000,2017,체육용지,146916.7
3140000,2017,유원지,0
3140000,2017,종교용지,80518.8
3140000,2017,사적지,0
3140000,2017,묘지,974
3140000,2017,잡종지,184331.9
3150000,2017,계,41436825.6
3150000,2017,전,1307056.9
3150000,2017,답,5335657.6
3150000,2017,과수원,21142
3150000,2017,목장용지,0
3150000,2017,임야,2773492.9
3150000,2017,광천지,0
3150000,2017,염전,0
3150000,2017,대,10454829.2
3150000,2017,공장용지,166245.4
3150000,2017,학교용지,917083
3150000,2017,주차장,106630.7
3150000,2017,주유소용지,49511.7
3150000,2017,창고용지,15473.9
3150000,2017,도로,3993816
3150000,2017,철도용지,416630.9
3150000,2017,제방,599794.7
3150000,2017,하천,3703376
3150000,2017,구거,670131.2
3150000,2017,유지,189911.3
3150000,2017,양어장,0
3150000,2017,수도용지,1420.9
3150000,2017,공원,1231928.2
3150000,2017,체육용지,39315.7
3150000,2017,유원지,0
3150000,2017,종교용지,99305.4
3150000,2017,사적지,3719
3150000,2017,묘지,16053
3150000,2017,잡종지,9324300
3160000,2017,계,20119954.3
3160000,2017,전,494714
3160000,2017,답,361631
3160000,2017,과수원,0
3160000,2017,목장용지,0
3160000,2017,임야,3056002.4
3160000,2017,광천지,0
3160000,2017,염전,0
3160000,2017,대,8260636.9
3160000,2017,공장용지,586804.4
3160000,2017,학교용지,809988.2
3160000,2017,주차장,29013.9
3160000,2017,주유소용지,24332
3160000,2017,창고용지,7220
3160000,2017,도로,2848836.7
3160000,2017,철도용지,936418.8
3160000,2017,제방,67389.1
3160000,2017,하천,968506.9
3160000,2017,구거,292986.5
3160000,2017,유지,101146
3160000,2017,양어장,0
3160000,2017,수도용지,27073
3160000,2017,공원,857668.2
3160000,2017,체육용지,1125
3160000,2017,유원지,0
3160000,2017,종교용지,104895.6
3160000,2017,사적지,0
3160000,2017,묘지,14246
3160000,2017,잡종지,269319.7
3170000,2017,계,13020164
3170000,2017,전,42506
3170000,2017,답,21894
3170000,2017,과수원,0
3170000,2017,목장용지,0
3170000,2017,임야,2742391.9
3170000,2017,광천지,0
3170000,2017,염전,0
3170000,2017,대,5016366.3
3170000,2017,공장용지,1297275.9
3170000,2017,학교용지,357113.6
3170000,2017,주차장,16640.2
3170000,2017,주유소용지,15924.4
3170000,2017,창고용지,16326.2
3170000,2017,도로,2021537.9
3170000,2017,철도용지,213743.4
3170000,2017,제방,116769
3170000,2017,하천,620365
3170000,2017,구거,43881.6
3170000,2017,유지,44541.3
3170000,2017,양어장,0
3170000,2017,수도용지,53981
3170000,2017,공원,238677.4
3170000,2017,체육용지,21949
3170000,2017,유원지,0
3170000,2017,종교용지,29973.4
3170000,2017,사적지,0
3170000,2017,묘지,934
3170000,2017,잡종지,87372.5
3180000,2017,계,24548177.4
3180000,2017,전,31025
3180000,2017,답,38162
3180000,2017,과수원,0
3180000,2017,목장용지,0
3180000,2017,임야,66820.6
3180000,2017,광천지,0
3180000,2017,염전,0
3180000,2017,대,9472110
3180000,2017,공장용지,324179.4
3180000,2017,학교용지,536525.7
3180000,2017,주차장,41346.8
3180000,2017,주유소용지,11878.4
3180000,2017,창고용지,15118.5
3180000,2017,도로,4270918.1
3180000,2017,철도용지,257718
3180000,2017,제방,314714.3
3180000,2017,하천,8077596.2
3180000,2017,구거,27277.5
3180000,2017,유지,109721.9
3180000,2017,양어장,0
3180000,2017,수도용지,92857.3
3180000,2017,공원,616951.7
3180000,2017,체육용지,16498
3180000,2017,유원지,0
3180000,2017,종교용지,187550.6
3180000,2017,사적지,0
3180000,2017,묘지,131
3180000,2017,잡종지,39076.4
3190000,2017,계,16354213.1
3190000,2017,전,34001
3190000,2017,답,31983
3190000,2017,과수원,0
3190000,2017,목장용지,0
3190000,2017,임야,2411925.9
3190000,2017,광천지,0
3190000,2017,염전,0
3190000,2017,대,7852066.1
3190000,2017,공장용지,782.1
3190000,2017,학교용지,977826
3190000,2017,주차장,14995.6
3190000,2017,주유소용지,10747.5
3190000,2017,창고용지,0
3190000,2017,도로,2348025.8
3190000,2017,철도용지,144739
3190000,2017,제방,9385.5
3190000,2017,하천,639607.7
3190000,2017,구거,69503.8
3190000,2017,유지,713
3190000,2017,양어장,0
3190000,2017,수도용지,141575.2
3190000,2017,공원,971389.6
3190000,2017,체육용지,1714
3190000,2017,유원지,0
3190000,2017,종교용지,111124.3
3190000,2017,사적지,0
3190000,2017,묘지,513989
3190000,2017,잡종지,68119
3200000,2017,계,29568848.6
3200000,2017,전,125416.5
3200000,2017,답,57925
3200000,2017,과수원,0
3200000,2017,목장용지,0
3200000,2017,임야,16101539
3200000,2017,광천지,0
3200000,2017,염전,0
3200000,2017,대,8200851.2
3200000,2017,공장용지,0
3200000,2017,학교용지,937666.3
3200000,2017,주차장,17701.1
3200000,2017,주유소용지,13968.9
3200000,2017,창고용지,0
3200000,2017,도로,2607616.5
3200000,2017,철도용지,0
3200000,2017,제방,15639.7
3200000,2017,하천,546124.2
3200000,2017,구거,114796.7
3200000,2017,유지,0
3200000,2017,양어장,0
3200000,2017,수도용지,37545
3200000,2017,공원,610234.4
3200000,2017,체육용지,10486.3
3200000,2017,유원지,0
3200000,2017,종교용지,79249.9
3200000,2017,사적지,0
3200000,2017,묘지,26
3200000,2017,잡종지,92061.9
3210000,2017,계,46985554.1
3210000,2017,전,2283604
3210000,2017,답,1814189
3210000,2017,과수원,5333
3210000,2017,목장용지,388
3210000,2017,임야,17960473.4
3210000,2017,광천지,0
3210000,2017,염전,0
3210000,2017,대,12863147.7
3210000,2017,공장용지,0
3210000,2017,학교용지,908894.7
3210000,2017,주차장,28467.6
3210000,2017,주유소용지,52283.1
3210000,2017,창고용지,2218
3210000,2017,도로,6262607.9
3210000,2017,철도용지,2338.2
3210000,2017,제방,217284.6
3210000,2017,하천,2487329.2
3210000,2017,구거,302141
3210000,2017,유지,83683.6
3210000,2017,양어장,0
3210000,2017,수도용지,72009.3
3210000,2017,공원,867845.5
3210000,2017,체육용지,1982.5
3210000,2017,유원지,0
3210000,2017,종교용지,33647.9
3210000,2017,사적지,0
3210000,2017,묘지,18530
3210000,2017,잡종지,717155.9
3220000,2017,계,39501152.3
3220000,2017,전,866744.1
3220000,2017,답,1080528.4
3220000,2017,과수원,0
3220000,2017,목장용지,0
3220000,2017,임야,6076431
3220000,2017,광천지,0
3220000,2017,염전,0
3220000,2017,대,16005701.6
3220000,2017,공장용지,8331
3220000,2017,학교용지,1477403.1
3220000,2017,주차장,54835.3
3220000,2017,주유소용지,66435.5
3220000,2017,창고용지,829.3
3220000,2017,도로,6694889.7
3220000,2017,철도용지,218424.5
3220000,2017,제방,114955.5
3220000,2017,하천,4026906.9
3220000,2017,구거,53728
3220000,2017,유지,101945.6
3220000,2017,양어장,0
3220000,2017,수도용지,22897.6
3220000,2017,공원,1472681.2
3220000,2017,체육용지,6908.1
3220000,2017,유원지,0
3220000,2017,종교용지,157852.2
3220000,2017,사적지,0
3220000,2017,묘지,30558
3220000,2017,잡종지,962165.7
3230000,2017,계,33874855
3230000,2017,전,823101
3230000,2017,답,916191
3230000,2017,과수원,0
3230000,2017,목장용지,0
3230000,2017,임야,1659373
3230000,2017,광천지,0
3230000,2017,염전,0
3230000,2017,대,13759402.9
3230000,2017,공장용지,0
3230000,2017,학교용지,1293844
3230000,2017,주차장,102213.4
3230000,2017,주유소용지,34702.2
3230000,2017,창고용지,15065
3230000,2017,도로,5819405.9
3230000,2017,철도용지,64648
3230000,2017,제방,425613.7
3230000,2017,하천,5345337
3230000,2017,구거,53704.8
3230000,2017,유지,264642
3230000,2017,양어장,0
3230000,2017,수도용지,7100.2
3230000,2017,공원,2174378
3230000,2017,체육용지,421953.4
3230000,2017,유원지,17799
3230000,2017,종교용지,23087.3
3230000,2017,사적지,223148.9
3230000,2017,묘지,2516
3230000,2017,잡종지,427628.3
3240000,2017,계,24588972
3240000,2017,전,1566570.7
3240000,2017,답,941968
3240000,2017,과수원,2670
3240000,2017,목장용지,0
3240000,2017,임야,2932542.2
3240000,2017,광천지,0
3240000,2017,염전,0
3240000,2017,대,8842889.7
3240000,2017,공장용지,3514
3240000,2017,학교용지,720563.6
3240000,2017,주차장,60506.5
3240000,2017,주유소용지,28854.5
3240000,2017,창고용지,1969
3240000,2017,도로,3622923.1
3240000,2017,철도용지,258637
3240000,2017,제방,338616.7
3240000,2017,하천,3312853.9
3240000,2017,구거,39773.5
3240000,2017,유지,43102.2
3240000,2017,양어장,0
3240000,2017,수도용지,311388
3240000,2017,공원,1072702.2
3240000,2017,체육용지,3480
3240000,2017,유원지,0
3240000,2017,종교용지,22030.9
3240000,2017,사적지,97803
3240000,2017,묘지,4039
3240000,2017,잡종지,359574.3
3250000,2017,계,2825996.4
3250000,2017,전,2213
3250000,2017,답,0
3250000,2017,과수원,0
3250000,2017,목장용지,0
3250000,2017,임야,105907.7
3250000,2017,광천지,0
3250000,2017,염전,0
3250000,2017,대,1494396.2
3250000,2017,공장용지,0
3250000,2017,학교용지,84300.7
3250000,2017,주차장,31369.7
3250000,2017,주유소용지,1242.2
3250000,2017,창고용지,2306.3
3250000,2017,도로,746615.6
3250000,2017,철도용지,72189.4
3250000,2017,제방,0
3250000,2017,하천,14123.9
3250000,2017,구거,15647.2
