ORGAN_CODE,CATEGORY,VAL
4970000,산림면적,20505
4980000,산림면적,31321
4990000,산림면적,25629
5000000,산림면적,24709
5010000,산림면적,30538
6470000,산림면적,1333691
5020000,산림면적,74813
5050000,산림면적,88736
5060000,산림면적,69509
5070000,산림면적,106206
5080000,산림면적,34070
5090000,산림면적,40733
5100000,산림면적,61985
5110000,산림면적,82049
5120000,산림면적,68387
5130000,산림면적,23009
5140000,산림면적,46178
5150000,산림면적,78777
5160000,산림면적,66472
5170000,산림면적,65697
5180000,산림면적,59391
5190000,산림면적,50476
5200000,산림면적,24203
5210000,산림면적,40450
5220000,산림면적,29009
5230000,산림면적,35339
5240000,산림면적,97933
5250000,산림면적,84184
5260000,산림면적,6085
6480000,산림면적,698810
5670000,산림면적,42385
5310000,산림면적,42051
5330000,산림면적,15236
5340000,산림면적,22834
5350000,산림면적,23640
5360000,산림면적,51109
5370000,산림면적,28320
5380000,산림면적,35918
5390000,산림면적,32920
5400000,산림면적,21282
5410000,산림면적,28901
5420000,산림면적,33941
5430000,산림면적,23763
5440000,산림면적,48540
5450000,산림면적,60891
5460000,산림면적,54985
5470000,산림면적,60810
5480000,산림면적,71284
6500000,산림면적,87334
6510000,산림면적,44499
6520000,산림면적,42835
6110000,임목축적,2282684
3000000,임목축적,130715
3010000,임목축적,21807
3020000,임목축적,28579
3030000,임목축적,3031
3040000,임목축적,35187
3050000,임목축적,19091
3060000,임목축적,88477
3070000,임목축적,134891
3080000,임목축적,178588
3090000,임목축적,153455
3100000,임목축적,219993
3110000,임목축적,198994
3120000,임목축적,82201
3130000,임목축적,12034
3140000,임목축적,46048
3150000,임목축적,63267
3160000,임목축적,57837
3170000,임목축적,53981
3180000,임목축적,695
3190000,임목축적,30500
3200000,임목축적,295945
3210000,임목축적,269351
3220000,임목축적,115673
3230000,임목축적,16509
3240000,임목축적,25835
6260000,임목축적,6268223
3250000,임목축적,2264
3260000,임목축적,122678
3270000,임목축적,51327
3280000,임목축적,74410
3290000,임목축적,181700
3300000,임목축적,81181
3310000,임목축적,157865
3320000,임목축적,428708
3330000,임목축적,528777
3340000,임목축적,236784
3350000,임목축적,729162
3360000,임목축적,762085
3370000,임목축적,54352
3380000,임목축적,44562
3390000,임목축적,225871
3400000,임목축적,2586497
6270000,임목축적,8745821
3410000,임목축적,
3420000,임목축적,2070555
3430000,임목축적,32019
3440000,임목축적,122877
3450000,임목축적,821050
3460000,임목축적,682360
3470000,임목축적,381216
3480000,임목축적,4635744
6280000,임목축적,5705792
3490000,임목축적,423761
3500000,임목축적,989
3510500,임목축적,31440
3520000,임목축적,48970
3530000,임목축적,204924
3540000,임목축적,122209
3550000,임목축적,165788
3560000,임목축적,427438
3570000,임목축적,2467130
3580000,임목축적,1813143
6290000,임목축적,2806238
3590000,임목축적,512610
3600000,임목축적,109326
3610000,임목축적,262792
3620000,임목축적,802662
3630000,임목축적,1118848
6300000,임목축적,5006992
3640000,임목축적,1485866
3650000,임목축적,569710
3660000,임목축적,856365
3670000,임목축적,1618233
3680000,임목축적,476818
6310000,임목축적,11401826
3690000,임목축적,246740
3700000,임목축적,222405
3710000,임목축적,323589
3720000,임목축적,1823301
3730000,임목축적,8785791
5690000,임목축적,3839903
#N/A,임목축적,3839903
6410000,임목축적,81057717
3740000,임목축적,405609
3780000,임목축적,1125952
3820000,임목축적,684348
3830000,임목축적,527035
3860000,임목축적,145147
3900000,임목축적,227191
3910000,임목축적,1240706
3920000,임목축적,1043783
3930000,임목축적,1058165
3940000,임목축적,1446127
3970000,임목축적,392645
3980000,임목축적,213085
3990000,임목축적,4991286
4000000,임목축적,169364
4010000,임목축적,699427
4020000,임목축적,288993
4030000,임목축적,542683
4040000,임목축적,818226
4050000,임목축적,4320007
4060000,임목축적,4263750
4070000,임목축적,2579755
4080000,임목축적,3675838
4090000,임목축적,1030171
5530000,임목축적,2543081
5540000,임목축적,4523483
5590000,임목축적,2372660
5600000,임목축적,8379097
5700000,임목축적,4319044
4140000,임목축적,5907316
4160000,임목축적,11259069
4170000,임목축적,9864674
6420000,임목축적,250792917
4180000,임목축적,14797987
4190000,임목축적,10871186
4200000,임목축적,15470324
4210000,임목축적,2577921
4220000,임목축적,4785953
4230000,임목축적,1426980
4240000,임목축적,18361775
4250000,임목축적,28004884
4260000,임목축적,12987960
4270000,임목축적,17326437
4280000,임목축적,22320799
4290000,임목축적,18735888
4300000,임목축적,9637271
4310000,임목축적,14582232
4320000,임목축적,10555132
4330000,임목축적,29236603
4340000,임목축적,9313181
4350000,임목축적,9800404
6430000,임목축적,78091550
5710000,임목축적,6975773
4390000,임목축적,9779291
4400000,임목축적,10558248
4420000,임목축적,6557614
4430000,임목축적,5245924
4440000,임목축적,9897933
5570000,임목축적,628505
4450000,임목축적,3628440
4460000,임목축적,10531274
4470000,임목축적,3707523
4480000,임목축적,10581025
6440000,임목축적,59154844
4490000,임목축적,4752844
4500000,임목축적,8601961
4510000,임목축적,4892086
4520000,임목축적,2851612
4530000,임목축적,4587617
4540000,임목축적,3328197
5580000,임목축적,583421
5680000,임목축적,3143957
4550000,임목축적,5986949
4570000,임목축적,4519411
4580000,임목축적,2037788
4590000,임목축적,4290466
4600000,임목축적,2757787
4610000,임목축적,3668930
4620000,임목축적,3151818
6450000,임목축적,71494501
4640000,임목축적,963773
4670000,임목축적,1172476
4680000,임목축적,1952839
4690000,임목축적,5381061
4700000,임목축적,8351068
4710000,임목축적,1558413
4720000,임목축적,9201399
4730000,임목축적,9310706
4740000,임목축적,8382152
4750000,임목축적,6335978
4760000,임목축적,6532302
4770000,임목축적,5208195
4780000,임목축적,3755916
4790000,임목축적,3388223
6460000,임목축적,88048613
4800000,임목축적,130406
4810000,임목축적,3696475
4820000,임목축적,8089188
4830000,임목축적,3118375
4840000,임목축적,4086783
4850000,임목축적,3643967
4860000,임목축적,5229229
4870000,임목축적,4742714
4880000,임목축적,6396722
4890000,임목축적,5345573
4900000,임목축적,7569761
4910000,임목축적,4795181
4920000,임목축적,3844303
4930000,임목축적,4785914
4940000,임목축적,2843594
4950000,임목축적,1752249
4960000,임목축적,2290971
4970000,임목축적,2910817
4980000,임목축적,4523321
4990000,임목축적,2891404
5000000,임목축적,2640350
5010000,임목축적,2721316
6470000,임목축적,228240999
5020000,임목축적,12613125
5050000,임목축적,15053758
5060000,임목축적,11506337
5070000,임목축적,17996838
5080000,임목축적,5657035
5090000,임목축적,6987638
5100000,임목축적,10229399
5110000,임목축적,13946958
5120000,임목축적,11555346
5130000,임목축적,3998624
5140000,임목축적,7840175
5150000,임목축적,13068432
5160000,임목축적,11622220
5170000,임목축적,11432334
5180000,임목축적,10279453
5190000,임목축적,8843497
5200000,임목축적,4076708
5210000,임목축적,6937912
5220000,임목축적,4674015
5230000,임목축적,5525090
5240000,임목축적,17044910
5250000,임목축적,16254951
5260000,임목축적,1096244
6480000,임목축적,124449446
5670000,임목축적,7676543
5310000,임목축적,7501736
5330000,임목축적,2813693
5340000,임목축적,3784272
5350000,임목축적,4211516
5360000,임목축적,9339264
5370000,임목축적,4948346
5380000,임목축적,6281534
5390000,임목축적,6029626
5400000,임목축적,3854858
5410000,임목축적,5063345
5420000,임목축적,6213913
5430000,임목축적,4219142
5440000,임목축적,8640485
5450000,임목축적,10520038
5460000,임목축적,9648148
5470000,임목축적,10858528
5480000,임목축적,12844459
6500000,임목축적,13059207
6510000,임목축적,6627715
6520000,임목축적,6431492
