ORGAN_CODE,CATEGORY,YY,VAL
6310000,³í,2019,5280.9937
3730000,³í,2019,4548.6967
5690000,³í,2019,4249.8652
6410000,³í,2019,84124.7117
3740000,³í,2019,448.2052
3780000,³í,2019,33.9096
3820000,³í,2019,89.7286
3830000,³í,2019,0
3860000,³í,2019,246.3975
3900000,³í,2019,113.082
3910000,³í,2019,12512.2375
3920000,³í,2019,66.366
3930000,³í,2019,654.3107
3940000,³í,2019,1280.9226
3970000,³í,2019,8.4987
3980000,³í,2019,0
3990000,³í,2019,265.1318
4000000,³í,2019,230.3675
4010000,³í,2019,850.9875
4020000,³í,2019,77.738
4030000,³í,2019,69.8267
4040000,³í,2019,1.8483
4050000,³í,2019,3849.4847
4060000,³í,2019,6505.0412
4070000,³í,2019,8650.889
4080000,³í,2019,8243.4936
4090000,³í,2019,5114.7885
5530000,³í,2019,12919.9107
5540000,³í,2019,711.6389
5590000,³í,2019,1477.1092
5600000,³í,2019,3415.242
5700000,³í,2019,7659.3606
4140000,³í,2019,3554.4365
4160000,³í,2019,1140.8335
4170000,³í,2019,3932.9251
6420000,³í,2019,33685.079
4180000,³í,2019,1770.7134
4190000,³í,2019,3531.8701
4200000,³í,2019,2324.6966
4210000,³í,2019,251.192
4220000,³í,2019,2
4230000,³í,2019,395.9862
4240000,³í,2019,949.1125
4250000,³í,2019,2946.4577
4260000,³í,2019,2661.6558
4270000,³í,2019,460.6043
4280000,³í,2019,189.902
4290000,³í,2019,158.332
4300000,³í,2019,10094.2191
4310000,³í,2019,574.9478
4320000,³í,2019,1432.6158
4330000,³í,2019,946.5986
4340000,³í,2019,3149.6402
4350000,³í,2019,1844.5349
6430000,³í,2019,38290.161
5710000,³í,2019,10099.9374
4390000,³í,2019,5340.0304
4400000,³í,2019,2282.2982
4420000,³í,2019,4013.2645
4430000,³í,2019,2032.7021
4440000,³í,2019,1140.2013
4450000,³í,2019,4520.1942
4460000,³í,2019,3077.6116
4470000,³í,2019,4406.124
4480000,³í,2019,318.3384
5570000,³í,2019,1059.4589
6440000,³í,2019,145784.6018
4490000,³í,2019,6122.3102
4500000,³í,2019,7192.9557
4510000,³í,2019,8900.5965
4520000,³í,2019,10001.5826
4530000,³í,2019,20308.6922
4540000,³í,2019,11524.584
5580000,³í,2019,284.7136
5680000,³í,2019,20379.6962
4550000,³í,2019,1495.4433
4570000,³í,2019,12256.2582
4580000,³í,2019,10507.7336
4590000,³í,2019,6288.1207
4600000,³í,2019,9791.1766
4610000,³í,2019,11580.8866
4620000,³í,2019,9149.8518
6450000,³í,2019,124407.6027
4640000,³í,2019,2836.8064
4670000,³í,2019,11984.8576
4680000,³í,2019,18078.6227
4690000,³í,2019,13831.5354
4700000,³í,2019,10530.8787
4710000,³í,2019,19451.7384
4720000,³í,2019,4353.956
4730000,³í,2019,2292.2747
4740000,³í,2019,1172.7762
4750000,³í,2019,2868.3014
4760000,³í,2019,4266.0762
4770000,³í,2019,5994.702
4780000,³í,2019,13256.1398
4790000,³í,2019,13488.9372
6460000,³í,2019,169089.8761
4800000,³í,2019,102.4844
4810000,³í,2019,2306.7014
4820000,³í,2019,5400.5679
4830000,³í,2019,13628.8871
4840000,³í,2019,1309.9182
4850000,³í,2019,6343.9362
4860000,³í,2019,4594.8481
4870000,³í,2019,2638.752
4880000,³í,2019,13603.7293
4890000,³í,2019,7986.2487
4900000,³í,2019,5457.4012
4910000,³í,2019,8919.1044
4920000,³í,2019,10210.2903
4930000,³í,2019,20383.5416
4940000,³í,2019,15617.5886
4950000,³í,2019,9395.8043
4960000,³í,2019,7720.4744
4970000,³í,2019,10913.6072
4980000,³í,2019,4576.305
4990000,³í,2019,2466.7108
5000000,³í,2019,6235.774
5010000,³í,2019,9277.201
6470000,³í,2019,118502.8977
5020000,³í,2019,7962.5006
5050000,³í,2019,13679.1414
5060000,³í,2019,5478.8869
5070000,³í,2019,6361.4489
5080000,³í,2019,8351.7077
5090000,³í,2019,4447.8432
5100000,³í,2019,4173.2401
5110000,³í,2019,13089.078
5120000,³í,2019,4456.9912
5130000,³í,2019,930.5502
5140000,³í,2019,2826.2449
5150000,³í,2019,10100.938
5160000,³í,2019,1252.2331
5170000,³í,2019,1331.2849
5180000,³í,2019,2973.0163
5190000,³í,2019,2887.9739
5200000,³í,2019,4338.5927
5210000,³í,2019,5807.7117
5220000,³í,2019,2691.1615
5230000,³í,2019,9633.6224
5240000,³í,2019,2759.969
5250000,³í,2019,2968.7611
5260000,³í,2019,0
6480000,³í,2019,81288.2799
5670000,³í,2019,5018.7742
5310000,³í,2019,5616.2574
5330000,³í,2019,427.1701
5340000,³í,2019,4069.2786
5350000,³í,2019,4415.0669
5360000,³í,2019,6399.2983
5370000,³í,2019,1907.3523
5380000,³í,2019,1253.0396
5390000,³í,2019,4243.5685
5400000,³í,2019,5909.9974
5410000,³í,2019,7268.5613
5420000,³í,2019,6513.0857
5430000,³í,2019,2231.8189
5440000,³í,2019,4448.6677
5450000,³í,2019,4192.2919
5460000,³í,2019,4015.284
5470000,³í,2019,5352.8438
5480000,³í,2019,8005.9233
6500000,³í,2019,16.9666
6510000,³í,2019,5
6520000,³í,2019,11.9666
6110000,³í,2020,144.9208
6260000,³í,2020,2812.4495
3400000,³í,2020,571.576
6270000,³í,2020,3511.7205
3480000,³í,2020,3007.7561
