ORGAN_CODE,INSTI_NM,YYMM,VAL
5310000,자치단체,2017,"973,255,549,840"
5330000,자치단체,2017,"578,453,591,909"
5340000,자치단체,2017,"568,319,138,557"
5350000,자치단체,2017,"1,276,733,492,290"
5360000,자치단체,2017,"632,604,785,871"
5370000,자치단체,2017,"700,685,698,809"
5380000,자치단체,2017,"919,239,507,630"
5390000,자치단체,2017,"382,514,957,784"
5400000,자치단체,2017,"375,405,319,776"
5410000,자치단체,2017,"453,326,655,834"
5420000,자치단체,2017,"391,031,173,787"
5430000,자치단체,2017,"349,538,332,606"
5440000,자치단체,2017,"461,555,769,611"
5450000,자치단체,2017,"383,278,054,230"
5460000,자치단체,2017,"395,594,027,021"
5470000,자치단체,2017,"422,709,903,179"
5480000,자치단체,2017,"513,957,763,315"
6500000,자치단체,2017,"5,103,261,494,766"
6110000,자치단체,2018,"31,237,242,130,634"
3000000,자치단체,2018,"512,069,757,516"
3010000,자치단체,2018,"422,920,248,038"
3020000,자치단체,2018,"398,553,426,453"
3030000,자치단체,2018,"494,552,549,092"
3040000,자치단체,2018,"564,339,771,509"
3050000,자치단체,2018,"587,809,134,936"
3060000,자치단체,2018,"627,640,029,088"
3070000,자치단체,2018,"665,052,064,397"
3080000,자치단체,2018,"630,503,371,326"
3090000,자치단체,2018,"554,840,348,725"
3100000,자치단체,2018,"836,225,889,061"
3110000,자치단체,2018,"688,263,348,083"
3120000,자치단체,2018,"529,992,089,967"
3130000,자치단체,2018,"569,562,564,058"
3140000,자치단체,2018,"671,387,218,471"
3150000,자치단체,2018,"899,522,204,467"
3160000,자치단체,2018,"652,376,964,104"
3170000,자치단체,2018,"438,290,236,763"
3180000,자치단체,2018,"593,396,310,644"
3190000,자치단체,2018,"575,913,112,910"
3200000,자치단체,2018,"650,229,814,629"
3210000,자치단체,2018,"790,553,082,756"
3220000,자치단체,2018,"1,007,221,120,582"
3230000,자치단체,2018,"740,210,488,754"
3240000,자치단체,2018,"650,512,860,357"
6260000,자치단체,2018,"10,717,118,283,377"
3250000,자치단체,2018,"146,629,156,779"
3260000,자치단체,2018,"254,933,120,377"
3270000,자치단체,2018,"239,173,077,917"
3280000,자치단체,2018,"288,481,024,500"
3290000,자치단체,2018,"514,744,146,630"
3300000,자치단체,2018,"398,998,996,970"
3310000,자치단체,2018,"382,971,814,444"
3320000,자치단체,2018,"439,100,634,720"
3330000,자치단체,2018,"552,200,879,043"
3340000,자치단체,2018,"501,255,280,942"
3350000,자치단체,2018,"367,715,905,327"
3360000,자치단체,2018,"303,648,081,067"
3370000,자치단체,2018,"313,562,019,960"
3380000,자치단체,2018,"283,359,171,670"
3390000,자치단체,2018,"374,483,469,964"
3400000,자치단체,2018,"485,550,476,946"
6270000,자치단체,2018,"7,190,312,255,027"
3410000,자치단체,2018,"219,216,617,136"
3420000,자치단체,2018,"562,059,974,454"
3430000,자치단체,2018,"341,086,580,074"
3440000,자치단체,2018,"312,020,074,282"
3450000,자치단체,2018,"554,019,473,573"
3460000,자치단체,2018,"550,468,434,376"
3470000,자치단체,2018,"683,167,451,764"
3480000,자치단체,2018,"692,085,282,471"
6280000,자치단체,2018,"8,384,923,899,139"
3490000,자치단체,2018,"352,260,762,283"
3500000,자치단체,2018,"213,715,951,614"
3510500,자치단체,2018,"612,030,062,271"
3520000,자치단체,2018,"477,856,995,665"
3530000,자치단체,2018,"704,801,367,446"
3540000,자치단체,2018,"699,106,652,234"
3550000,자치단체,2018,"458,380,549,787"
3560000,자치단체,2018,"743,718,463,091"
3570000,자치단체,2018,"446,606,870,644"
3580000,자치단체,2018,"293,199,829,872"
6290000,자치단체,2018,"4,902,553,695,825"
3590000,자치단체,2018,"276,739,774,746"
3600000,자치단체,2018,"449,951,019,646"
3610000,자치단체,2018,"376,065,141,317"
3620000,자치단체,2018,"634,544,308,710"
3630000,자치단체,2018,"581,378,061,254"
6300000,자치단체,2018,"5,281,508,207,510"
3640000,자치단체,2018,"436,626,311,613"
3650000,자치단체,2018,"410,659,850,267"
3660000,자치단체,2018,"610,904,193,181"
3670000,자치단체,2018,"502,192,330,009"
3680000,자치단체,2018,"378,636,025,733"
6310000,자치단체,2018,"3,535,965,548,067"
3690000,자치단체,2018,"349,510,640,867"
3700000,자치단체,2018,"461,149,659,154"
3710000,자치단체,2018,"267,455,187,506"
3720000,자치단체,2018,"370,497,620,898"
3730000,자치단체,2018,"838,132,438,597"
5690000,자치단체,2018,"1,443,727,470,516"
6410000,자치단체,2018,"26,388,320,503,972"
3740000,자치단체,2018,"2,566,194,864,162"
3780000,자치단체,2018,"2,615,837,810,612"
3820000,자치단체,2018,"923,351,460,180"
3830000,자치단체,2018,"1,201,551,934,715"
3860000,자치단체,2018,"1,592,464,046,971"
3900000,자치단체,2018,"749,717,691,962"
3910000,자치단체,2018,"1,587,976,058,714"
3920000,자치단체,2018,"401,091,147,484"
3930000,자치단체,2018,"1,727,086,979,223"
3940000,자치단체,2018,"2,015,816,838,716"
3970000,자치단체,2018,"313,428,230,022"
3980000,자치단체,2018,"462,362,293,942"
3990000,자치단체,2018,"1,472,525,387,049"
4000000,자치단체,2018,"537,462,201,786"
4010000,자치단체,2018,"1,304,319,406,888"
4020000,자치단체,2018,"616,059,061,514"
4030000,자치단체,2018,"412,560,500,109"
4040000,자치단체,2018,"517,976,039,724"
4050000,자치단체,2018,"2,260,325,516,243"
4060000,자치단체,2018,"1,079,141,797,847"
4070000,자치단체,2018,"795,097,313,200"
4080000,자치단체,2018,"771,871,739,068"
4090000,자치단체,2018,"977,881,699,449"
5530000,자치단체,2018,"2,236,366,381,595"
5540000,자치단체,2018,"962,918,844,427"
5590000,자치단체,2018,"721,866,263,768"
5600000,자치단체,2018,"699,304,709,213"
5700000,자치단체,2018,"686,214,355,310"
4140000,자치단체,2018,"429,973,427,038"
4160000,자치단체,2018,"472,421,442,922"
4170000,자치단체,2018,"608,466,106,237"
6420000,자치단체,2018,"6,528,174,257,562"
4180000,자치단체,2018,"1,123,324,589,107"
4190000,자치단체,2018,"1,175,067,652,020"
4200000,자치단체,2018,"853,086,303,965"
4210000,자치단체,2018,"368,364,823,090"
4220000,자치단체,2018,"313,937,899,491"
4230000,자치단체,2018,"353,232,733,767"
4240000,자치단체,2018,"552,508,411,032"
4250000,자치단체,2018,"589,893,097,302"
4260000,자치단체,2018,"424,805,203,024"
4270000,자치단체,2018,"417,115,877,204"
4280000,자치단체,2018,"460,129,479,667"
