STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2017,3440000,152845,68748,104251,304538693389,YNA,SUB_MPC,1742.89153,224.70346,0,678,0,0,1,846294700,12163315140,309886359071,0,0,283.63181,4.93676,1457.95086,0,skgo,skgo,20230203,20230203
2017,3450000,441375,171098,301399,514231104790,YNA,SUB_MPC,9407.18132,867.20256,0,4602,7,0,1,1952988630,19271838452,523966911425,3102947933,0,1721.17948,1163.86662,6529.48852,0,skgo,skgo,20230203,20230203
2017,3460000,439211,157640,289254,488848143565,YNA,SUB_MPC,7653.66232,741.00758,0,3771,4,0,1,4214550900,19550401970,502185471351,12335259725,0,1294.8277,782.86316,5582.38926,0,skgo,skgo,20230203,20230203
2017,3470000,578068,222577,380364,629732566168,YNA,SUB_MPC,6234.32862,837.35479,0,2119,28,0,1,6129196600,26987433520,640745870595,6164083656,0,1192.45649,963.99716,4083.21427,0,skgo,skgo,20230203,20230203
2017,3480000,243375,89008,193509,584102846883,YNA,SUB_MPC,42667.61697,1689.68459,5590.4877,25577,54,0,1,6819247350,88403859337,595526381454,29092384720,0,5676.28354,8847.42189,28163.54334,0,skgo,skgo,20230203,20230203
2017,3490000,117999,47262,92032,296088430176,MPA,SUB_MPC,14027.47448,1211.92613,0,3266,6,1,0,1328429920,42561305680,323869441947,9540311115,147.87,1955.04583,1407.75363,10670.48282,20600,skgo,skgo,20230203,20230203
2017,3500000,69487,26796,57264,175440450669,MPA,SUB_MPC,719.39255,112.23143,0,6,0,1,0,1416234030,6727347520,190911010683,477068520,9.87,155.02754,235.90959,330.37102,21600,skgo,skgo,20230203,20230203
2017,3510500,419267,170460,305535,525563734881,MPA,SUB_MPC,2483.46524,501.48271,0,241,0,0,1,7793252680,16582137410,539056875579,7988722420,0,0,0,0,0,skgo,skgo,20230203,20230203
2017,3520000,335142,119930,206400,410223065695,MPA,SUB_MPC,5494.69521,869.10366,0,427,0,1,0,1973510980,22519276780,430820393250,4262067270,39.82,1007.44773,215.40667,4273.32601,8400,skgo,skgo,20230203,20230203
2017,3530000,536578,200748,362611,608824816244,MPA,SUB_MPC,5705.53583,906.22567,0,1261,0,1,0,7167077170,24511259170,626867555471,11793796710,5.71,1222.20131,1366.69092,3121.0425,623400,skgo,skgo,20230203,20230203
2017,3540000,539941,204175,359330,638995237990,MPA,SUB_MPC,3200.75101,459.49533,0,828,0,0,1,9113868641,18672640141,657091862971,24190959510,0,600.70189,348.34696,2256.15216,586200,skgo,skgo,20230203,20230203
