ORGAN_CODE,YY,VAL
6430000,2019,"1,600,007"
5710000,2019,"839,566"
5720000,2019,"178,352"
5725000,2019,"203,209"
5730000,2019,"262,137"
5735000,2019,"195,868"
4390000,2019,"210,737"
4400000,2019,"134,617"
4420000,2019,"32,949"
4430000,2019,"51,023"
4440000,2019,"48,738"
5570000,2019,"37,392"
4450000,2019,"81,084"
4460000,2019,"39,163"
4470000,2019,"94,982"
4480000,2019,"29,756"
6440000,2019,"2,123,709"
4490000,2019,"652,258"
5650000,2019,"259,411"
5660000,2019,"392,847"
4500000,2019,"106,474"
4510000,2019,"101,114"
4520000,2019,"314,395"
4530000,2019,"174,690"
4540000,2019,"118,842"
5580000,2019,"42,971"
5680000,2019,"167,042"
4550000,2019,"52,257"
4570000,2019,"66,740"
4580000,2019,"52,805"
4590000,2019,"31,717"
4600000,2019,"100,423"
4610000,2019,"79,238"
4620000,2019,"62,743"
6450000,2019,"1,818,917"
4640000,2019,"654,394"
4650000,2019,"338,839"
4660000,2019,"315,555"
4670000,2019,"270,131"
4680000,2019,"287,771"
4690000,2019,"110,541"
4700000,2019,"81,441"
4710000,2019,"83,895"
4720000,2019,"92,220"
4730000,2019,"25,697"
4740000,2019,"24,303"
4750000,2019,"22,441"
4760000,2019,"28,902"
4770000,2019,"28,382"
4780000,2019,"55,504"
4790000,2019,"53,295"
6460000,2019,"1,868,745"
4800000,2019,"229,861"
4810000,2019,"282,786"
4820000,2019,"279,598"
4830000,2019,"114,664"
4840000,2019,"156,750"
4850000,2019,"46,535"
4860000,2019,"28,887"
4870000,2019,"26,563"
4880000,2019,"64,913"
4890000,2019,"41,420"
4900000,2019,"62,737"
4910000,2019,"38,563"
4920000,2019,"35,286"
4930000,2019,"70,354"
4940000,2019,"54,593"
4950000,2019,"81,105"
4960000,2019,"32,861"
4970000,2019,"53,852"
4980000,2019,"45,739"
4990000,2019,"50,689"
5000000,2019,"30,715"
5010000,2019,"40,274"
6470000,2019,"2,665,836"
5020000,2019,"507,025"
