ORGAN_CODE,FIELD_NM,YY,VAL
3340000,비거주용건물내주택,2017,1035
3350000,주택,2017,82427
3350000,단독주택-계,2017,16251
3350000,단독주택-일반,2017,4254
3350000,단독주택-다가구,2017,9118
3350000,단독주택-영업겸용,2017,2879
3350000,아파트,2017,44560
3350000,연립주택,2017,3098
3350000,다세대주택,2017,17199
3350000,비거주용건물내주택,2017,1319
3360000,주택,2017,37268
3360000,단독주택-계,2017,8651
3360000,단독주택-일반,2017,6234
3360000,단독주택-다가구,2017,1280
3360000,단독주택-영업겸용,2017,1137
3360000,아파트,2017,27629
3360000,연립주택,2017,69
3360000,다세대주택,2017,560
3360000,비거주용건물내주택,2017,359
3370000,주택,2017,68314
3370000,단독주택-계,2017,11652
3370000,단독주택-일반,2017,3696
3370000,단독주택-다가구,2017,5926
3370000,단독주택-영업겸용,2017,2030
3370000,아파트,2017,44304
3370000,연립주택,2017,1502
3370000,다세대주택,2017,9936
3370000,비거주용건물내주택,2017,920
3380000,주택,2017,64543
3380000,단독주택-계,2017,10498
3380000,단독주택-일반,2017,3774
3380000,단독주택-다가구,2017,4922
3380000,단독주택-영업겸용,2017,1802
3380000,아파트,2017,34602
3380000,연립주택,2017,2351
3380000,다세대주택,2017,16315
3380000,비거주용건물내주택,2017,777
3390000,주택,2017,75312
3390000,단독주택-계,2017,10463
3390000,단독주택-일반,2017,1440
3390000,단독주택-다가구,2017,7386
3390000,단독주택-영업겸용,2017,1637
3390000,아파트,2017,55553
3390000,연립주택,2017,772
3390000,다세대주택,2017,7618
3390000,비거주용건물내주택,2017,906
3400000,주택,2017,57542
3400000,단독주택-계,2017,8239
3400000,단독주택-일반,2017,5608
3400000,단독주택-다가구,2017,1018
3400000,단독주택-영업겸용,2017,1613
3400000,아파트,2017,43514
3400000,연립주택,2017,1433
3400000,다세대주택,2017,3740
3400000,비거주용건물내주택,2017,616
6270000,주택,2017,783895
6270000,단독주택-계,2017,154389
6270000,단독주택-일반,2017,51495
6270000,단독주택-다가구,2017,73248
6270000,단독주택-영업겸용,2017,29646
6270000,아파트,2017,555900
6270000,연립주택,2017,9440
6270000,다세대주택,2017,53384
6270000,비거주용건물내주택,2017,10782
3410000,주택,2017,25788
3410000,단독주택-계,2017,8078
3410000,단독주택-일반,2017,4687
3410000,단독주택-다가구,2017,1686
3410000,단독주택-영업겸용,2017,1705
3410000,아파트,2017,14794
3410000,연립주택,2017,766
3410000,다세대주택,2017,1226
3410000,비거주용건물내주택,2017,924
3420000,주택,2017,118194
3420000,단독주택-계,2017,25251
3420000,단독주택-일반,2017,10063
3420000,단독주택-다가구,2017,11257
