ORGAN_CODE,TOP_CODE,TOP_ORGAN,FULL_ORGAN,LWST_ORGAN,REGION,EXPEN_PUBLIC_ORDER,EXPEN_TRAFFIC,EXPEN_TOTAL,EXPEN_GOVERN,EXPEN_INSTITU,EXPEN_EDU,TOTAL_POPULATION,TOTAL_HOUSE,COASTLINE,TOTAL_AREA,FOREST_AREA,ARABLE_AREA,ROAD_AREA,WATER_FACILITY,RESTORATION_FACILITY,ACCOM_FACILITY,ETC_FACILITY,EXPEN_DMG_STORM,CNT_DISPATCH,TOTAL_RESCUE,FIRE_RESCUE,MNTN_RESCUE,CNT_FIRE,FIRE_AREA,EXPEN_FIRE
3340000,6260000,Busan,Busan Saha-gu,Saha-gu,YNA,0.033360794,0.002544955,0.021878735,0.011600969,0,0,0.031872409,0.039023756,4.32E-02,0,0.008625462,0.008625462,0.021093242,0.035658241,0.00070855,0.037183781,0.020692848,0.010730911,0.024729713,0.039526022,0.007773852,0.025364274,0.036329496,0.001742219,0.007686932
3350000,6260000,Busan,Busan Geumjeong-gu,Geumjeong-gu,YNA,0.024389938,0.004166794,0.013750313,7.51E-03,0.000181248,0,0.023351386,0.028587076,0.00E+00,0,0.025920427,0.025920427,0.033802834,0.036221168,0.013663834,0.043097272,0.083043555,0.00323415,0.023532342,0.034157603,0.016961131,0.071235834,0.03232917,0.042066913,0.011724057
3360000,6260000,Busan,Busan Gangseo-gu,Gangseo-gu,YNA,0.062780582,0.007434,0.010024159,0.004932908,4.42E-05,0,0.012739144,0.013980255,6.50E-02,0,0.026606186,0.026606186,0.096714896,0.14435157,1.85E-01,0.232196607,0.039598075,0.022335708,0.014151335,0.01830269,0.000706714,0.00701565,0.040248184,0.000651693,0.013757464
3370000,6260000,Busan,Busan Yeonje-gu,Yeonje-gu,YNA,0.01029233,0.002879168,0.010132342,5.21E-03,0,0,0.020507896,0.023547398,0.00E+00,0,0.001893701,0.001893701,0.005019533,0.011563659,1.09E-04,0.00672255,0.023038423,0.005344929,0.027121263,0.038635921,0.012014134,0.01295197,0.043432117,0.00045813,0.005111114
3380000,6260000,Busan,Busan Suyeong-gu,Suyeong-gu,YNA,0.011450696,0.001559959,0.008039946,4.23E-03,5.72E-05,0,0.017319255,0.021988594,3.68E-03,0,0.001535093,0.001535093,0.003997529,0.009825018,1.92E-05,0.005357584,0.0077429,0.00581996,0.024001711,0.037439849,0.026855124,0.022665947,0.036982611,0.000106504,0.005813002
3390000,6260000,Busan,Busan Sasang-gu,Sasang-gu,YNA,0.005499585,0.003252512,0.013039648,0.007033467,4.66E-05,0,0.021397899,0.024717144,0.00E+00,0,7.85E-03,0.007851624,0.018009604,0.028370492,0.00177409,0.060783267,0.017803867,0.002224374,0.030537764,0.035353676,0.002120141,0.030221263,0.051269491,0.000787364,0.030510676
3400000,6260000,Busan,Busan Gijang-gun,Gijang-gun,YNA,0.055815211,0.010651137,0.019434687,0.011859143,0.002126951,0,0.016668674,0.019625235,0.033462198,0.024254114,0.091111558,0.091111558,0.116637965,0.114404582,0.099441175,0.091707344,0.078802903,0.104179267,0.020514966,0.019804734,0,0.008094981,0.031512777,0.053852042,0.047288501
3410000,6270000,Daegu,Daegu Jung-gu,Jung-gu,YNA,0.012601533,0.002002877,0.00492018,0.003426945,0.000209777,0,0.007097862,0.008097734,0.00E+00,0,0,0,0.002289269,0.010956477,0,0.006497744,0.008605886,0,0.020971563,0.034268866,0.06360424,0.031840259,0.022614091,0.000378583,0.021045428
3420000,6270000,Daegu,Daegu Dong-gu,Dong-gu,YNA,0.013633434,0.005718248,0.02569769,1.39E-02,0.000889996,0,0.034759732,0.041680931,0.00E+00,0,0.071627199,0.071627199,0.097069707,0.107135306,0.059535333,0.112105019,0.067613477,0.000166592,0.029538357,0.047342216,0.079151943,0.043712898,0.02514491,0.003039271,0.028974602
3430000,6270000,Daegu,Daegu Seo-gu,Seo-gu,YNA,0.004404148,0.000673273,0.012443229,0.006906107,1.16E-05,0,0.017103563,0.019167244,0.00E+00,0,0.001296021,0.001296021,0.007848599,3.01E-02,8.11E-04,0.019593755,0.015759316,0,0.025215048,0.037551111,0.054416961,0.016729628,0.034941628,0.000507404,0.018978161
3440000,6270000,Daegu,Daegu Nam-gu,Nam-gu,YNA,0.049210246,0.000528747,0.010548093,0.006035322,0,0,0.014272733,0.015301808,0.00E+00,0,0.004265546,0.004265546,0.007905326,0.016995674,1.97E-06,0.010532342,1.90E-02,0,0,0,0,0,0,0,0
3450000,6270000,Daegu,Daegu Buk-gu,Buk-gu,YNA,0.05135403,0.003683388,0.026713005,0.013590961,0.000344683,0,0.044392061,0.048199206,0.00E+00,0,0.028952865,0.028952865,0.049353741,0.091216944,0.016880583,0.08918316,6.41E-02,0.000275463,0.01652692,0.028622291,0.043816254,0.003777658,0.023267205,0.00023481,0.011431412
3460000,6270000,Daegu,Daegu Suseong-gu,Suseong-gu,YNA,0.015646145,0.004184023,0.025875245,0.012822219,0.001370229,0,0.043127703,0.045626061,0.00E+00,0,0.02372474,0.02372474,0.03989933,0.076577139,0.017312836,0.065599653,0.087018451,0.000269807,0.024247572,0.057077689,0.03745583,0.032379924,0.027675729,0.001877743,0.013686673
3470000,6270000,Daegu,Daegu Dalseo-gu,Dalseo-gu,YNA,0.017735096,0.004882469,0.034390053,0.017712492,0.00068472,0,0.057071345,0.060574176,0.00E+00,0,1.33E-02,0.013331404,0.032216914,0.08702374,0.006310734,0.060061285,7.84E-02,0,0.021051388,0.029234235,0.042402827,0.018348624,0.019756715,0.000153275,0.005997874
3480000,6270000,Daegu,Daegu Dalseong-gun,Dalseong-gun,YNA,0.025314711,0.032065737,0.030982576,0.016116541,0.003231648,0,0.025543915,0.03121894,0.00E+00,0.088754677,0.160914261,0.160914261,0.229456941,0.186651188,0.226954772,0.304627321,0.062550934,0.008569978,0.03809238,0.037356402,0.021908127,0.033998921,0.045636378,0.003393106,0.048329774
3490000,6280000,Incheon,Incheon Jung-gu,Jung-gu,MPA,0.010504341,0.00887637,0.010416727,0.006528833,0.001059759,0,0.01304896,0.015321627,7.54E-02,0,0.0205476,0.0205476,0.074421989,0.144417999,2.40E-02,0.118120158,0.134070468,0.002680345,0.015169899,0.024199605,0.014840989,0.004317323,0.029798351,0.000378141,0.128047979
3500000,6280000,Incheon,Incheon Dong-gu,Dong-gu,MPA,0.013057597,0,0.003623423,0.001836273,5.30E-05,0,0.005644183,0.007731257,5.03E-03,0,3.77E-05,3.77E-05,0.002364943,0.004438296,0,0.003638703,0.005490149,0.001832136,0,0,0,0,0,0,0
3510500,6280000,Incheon,Incheon Michuhol-gu,Michuhol-gu,MPA,0.04241984,0.004478196,0.030268818,0.014123538,0.000887405,0,0.041554944,0.038798357,0.00E+00,0,0.001516219,0.001516219,0.01191328,0.048923722,0.000149391,0.023452311,0.044479487,0.000713735,0.011133959,0.019220606,0.003533569,0.003237992,0.031920973,0.000789206,0.030211087
3520000,6280000,Incheon,Incheon Yeonsu-gu,Yeonsu-gu,MPA,0.010224421,0.00423467,0.019547572,0.0103035,0.00047344,0,0.037210697,0.036798328,2.03E-02,0,0.002686413,0.002686413,0.028483039,0.093282882,0.001280487,0.050803392,0.133759698,0.001123234,0.003754957,0.008149982,0.000706714,0,0.016491142,0.037682641,0.016536444
3530000,6280000,Incheon,Incheon Namdong-gu,Namdong-gu,MPA,0.052889769,0.005291884,0.033426513,0.017222679,0.001310082,0,0.053536689,0.059075632,2.91E-03,0,0.007933412,0.007933412,0.029435316,0.095454627,0.005514383,0.063969469,0.035641278,0.015340486,0.021045002,0.038858446,0.012014134,0.014570966,0.067923912,0.004013128,0.053267337
3540000,6280000,Incheon,Incheon Bupyeong-gu,Bupyeong-gu,MPA,0.041551978,0.005740087,0.033586226,0.018289399,0.002687187,0,0.051649934,0.055308104,0.00E+00,0,0.005209251,0.005209251,0.015795309,0.04363798,0.002712499,0.027710874,0.037352189,0.006814559,0.011718276,0.016633751,0.018374558,0.001618996,0.026859335,0.000384917,0.009225749
